# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "--countReadPairs" "-s" "0" "-a" "PAO1_2/data/reference/Pseudomonas_aeruginosa_PAO1_107.gff" "-o" "PAO1_2/results/counts/SRR14995086_counts.txt" "-t" "gene" "-g" "Alias" "PAO1_2/data/aligned/SRR14995086.bam" 
Geneid	Chr	Start	End	Strand	Length	PAO1_2/data/aligned/SRR14995086.bam
PA0048	refseq|NC_002516.2|chromosome	62403	62786	-	384	126
PA0049	refseq|NC_002516.2|chromosome	63068	64729	-	1662	657
PA0050	refseq|NC_002516.2|chromosome	65339	65479	+	141	110
PA0051	refseq|NC_002516.2|chromosome	66303	68135	+	1833	477
PA0052	refseq|NC_002516.2|chromosome	68188	68616	-	429	740
PA0053	refseq|NC_002516.2|chromosome	69272	69526	+	255	1196
PA0054	refseq|NC_002516.2|chromosome	69543	70091	-	549	586
PA0055	refseq|NC_002516.2|chromosome	70130	70636	-	507	3072
PA0056	refseq|NC_002516.2|chromosome	70702	71622	-	921	335
PA0057	refseq|NC_002516.2|chromosome	71730	72617	+	888	167
PA0058	refseq|NC_002516.2|chromosome	72680	73384	+	705	194
PA0059	refseq|NC_002516.2|chromosome	73468	73923	+	456	492
PA0060	refseq|NC_002516.2|chromosome	74034	74267	+	234	675
PA0061	refseq|NC_002516.2|chromosome	74279	74716	-	438	1049
PA0062	refseq|NC_002516.2|chromosome	74773	75189	-	417	330
PA0063	refseq|NC_002516.2|chromosome	75281	76408	+	1128	786
PA0064	refseq|NC_002516.2|chromosome	76416	77399	-	984	600
PA0065	refseq|NC_002516.2|chromosome	77432	78097	-	666	687
PA0066	refseq|NC_002516.2|chromosome	78090	78632	-	543	918
PA0067	refseq|NC_002516.2|chromosome	78710	80755	+	2046	7531
PA0068	refseq|NC_002516.2|chromosome	80752	81027	+	276	126
PA0069	refseq|NC_002516.2|chromosome	81116	82174	+	1059	561
PA0070	refseq|NC_002516.2|chromosome	82404	83318	-	915	820
PA0071	refseq|NC_002516.2|chromosome	83380	85092	-	1713	1860
PA0072	refseq|NC_002516.2|chromosome	85085	86284	-	1200	65
PA0073	refseq|NC_002516.2|chromosome	86284	87003	-	720	18
PA0074	refseq|NC_002516.2|chromosome	87000	90098	-	3099	351
PA0075	refseq|NC_002516.2|chromosome	90106	90834	-	729	57
PA0076	refseq|NC_002516.2|chromosome	90844	91524	-	681	60
PA0077	refseq|NC_002516.2|chromosome	91521	94826	-	3306	301
PA0078	refseq|NC_002516.2|chromosome	95048	96397	-	1350	131
PA0079	refseq|NC_002516.2|chromosome	96404	97738	-	1335	455
PA0080	refseq|NC_002516.2|chromosome	97754	98218	-	465	170
PA0081	refseq|NC_002516.2|chromosome	98263	99756	-	1494	3790
PA0082	refseq|NC_002516.2|chromosome	100124	101158	+	1035	3516
PA0083	refseq|NC_002516.2|chromosome	101247	101765	+	519	462
PA0084	refseq|NC_002516.2|chromosome	101778	103274	+	1497	1254
PA0085	refseq|NC_002516.2|chromosome	103350	103838	+	489	427
PA0086	refseq|NC_002516.2|chromosome	104006	104851	+	846	187
PA0087	refseq|NC_002516.2|chromosome	104853	105362	+	510	75
PA0088	refseq|NC_002516.2|chromosome	105359	107218	+	1860	141
PA0089	refseq|NC_002516.2|chromosome	107182	108228	+	1047	106
PA0090	refseq|NC_002516.2|chromosome	108221	110929	+	2709	710
PA0091	refseq|NC_002516.2|chromosome	110976	112907	+	1932	319
PA0092	refseq|NC_002516.2|chromosome	113022	113306	-	285	189
PA0093	refseq|NC_002516.2|chromosome	113303	114595	-	1293	920
PA0094	refseq|NC_002516.2|chromosome	114611	115045	-	435	637
PA0095	refseq|NC_002516.2|chromosome	115299	117524	+	2226	1835
PA0096	refseq|NC_002516.2|chromosome	117552	118001	+	450	217
PA0097	refseq|NC_002516.2|chromosome	117931	119130	+	1200	123
PA0098	refseq|NC_002516.2|chromosome	119127	120164	+	1038	159
PA0099	refseq|NC_002516.2|chromosome	120164	121324	+	1161	495
PA0100	refseq|NC_002516.2|chromosome	121346	122266	+	921	1187
PA0101	refseq|NC_002516.2|chromosome	122248	123495	+	1248	612
PA0102	refseq|NC_002516.2|chromosome	123871	124599	+	729	6103
PA0103	refseq|NC_002516.2|chromosome	124810	126381	+	1572	543
PA0104	refseq|NC_002516.2|chromosome	126518	127114	+	597	569
PA0105	refseq|NC_002516.2|chromosome	127378	128502	+	1125	8843
PA0106	refseq|NC_002516.2|chromosome	128512	130104	+	1593	6533
PA0107	refseq|NC_002516.2|chromosome	130115	130669	+	555	1796
PA0108	refseq|NC_002516.2|chromosome	130680	131567	+	888	4253
PA0109	refseq|NC_002516.2|chromosome	131583	131792	-	210	1418
PA0110	refseq|NC_002516.2|chromosome	131808	132602	+	795	2013
PA0111	refseq|NC_002516.2|chromosome	132577	133155	+	579	1236
PA0112	refseq|NC_002516.2|chromosome	133220	134293	+	1074	1081
PA0113	refseq|NC_002516.2|chromosome	134319	135233	+	915	1710
PA0114	refseq|NC_002516.2|chromosome	135259	135894	+	636	1464
PA0115	refseq|NC_002516.2|chromosome	135934	136386	-	453	396
PA0116	refseq|NC_002516.2|chromosome	136518	136991	+	474	611
PA0117	refseq|NC_002516.2|chromosome	137248	137976	+	729	276
PA0118	refseq|NC_002516.2|chromosome	138001	138588	+	588	330
PA0119	refseq|NC_002516.2|chromosome	138818	140167	+	1350	1169
PA0120	refseq|NC_002516.2|chromosome	140216	140902	+	687	1064
PA0121	refseq|NC_002516.2|chromosome	141003	141737	+	735	586
PA0122	refseq|NC_002516.2|chromosome	141917	142327	+	411	8732
PA0123	refseq|NC_002516.2|chromosome	142359	143267	-	909	2181
PA0124	refseq|NC_002516.2|chromosome	143567	143848	-	282	624
PA0125	refseq|NC_002516.2|chromosome	143845	144072	-	228	284
PA0126	refseq|NC_002516.2|chromosome	144248	144868	-	621	307
PA0127	refseq|NC_002516.2|chromosome	144969	145469	+	501	702
PA0128	refseq|NC_002516.2|chromosome	145542	145883	+	342	147
PA0129	refseq|NC_002516.2|chromosome	145965	147392	-	1428	915
PA0130	refseq|NC_002516.2|chromosome	147561	149054	-	1494	2326
PA0131	refseq|NC_002516.2|chromosome	149138	149425	-	288	131
PA0132	refseq|NC_002516.2|chromosome	149425	150771	-	1347	1171
PA0133	refseq|NC_002516.2|chromosome	150906	151823	+	918	1262
PA0134	refseq|NC_002516.2|chromosome	151936	153306	-	1371	2096
PA0135	refseq|NC_002516.2|chromosome	153696	153836	+	141	129
PA0136	refseq|NC_002516.2|chromosome	154417	155988	+	1572	481
PA0137	refseq|NC_002516.2|chromosome	155988	157085	+	1098	534
PA0138	refseq|NC_002516.2|chromosome	157108	158034	+	927	712
PA0139	refseq|NC_002516.2|chromosome	158199	158762	+	564	30041
PA0140	refseq|NC_002516.2|chromosome	158907	160472	+	1566	2098
PA0141	refseq|NC_002516.2|chromosome	160552	161448	-	897	456
PA0142	refseq|NC_002516.2|chromosome	161906	163255	+	1350	898
PA0143	refseq|NC_002516.2|chromosome	163363	164415	+	1053	1316
PA0144	refseq|NC_002516.2|chromosome	164443	165069	-	627	325
PA0145	refseq|NC_002516.2|chromosome	165219	165737	-	519	440
PA0146	refseq|NC_002516.2|chromosome	165976	167073	+	1098	251
PA0147	refseq|NC_002516.2|chromosome	167146	168108	+	963	754
PA0148	refseq|NC_002516.2|chromosome	168213	169163	+	951	1408
PA0149	refseq|NC_002516.2|chromosome	169361	169906	+	546	531
PA0150	refseq|NC_002516.2|chromosome	169903	170898	+	996	307
PA0151	refseq|NC_002516.2|chromosome	171047	173434	+	2388	413
PA0152	refseq|NC_002516.2|chromosome	173811	174638	+	828	983
PA0153	refseq|NC_002516.2|chromosome	174773	175492	+	720	472
PA0154	refseq|NC_002516.2|chromosome	175503	176108	+	606	776
PA0155	refseq|NC_002516.2|chromosome	176315	177154	+	840	1435
PA0156	refseq|NC_002516.2|chromosome	177307	178458	+	1152	1074
PA0157	refseq|NC_002516.2|chromosome	178455	179525	+	1071	847
PA0158	refseq|NC_002516.2|chromosome	179522	182569	+	3048	2085
PA0159	refseq|NC_002516.2|chromosome	182768	183706	+	939	993
PA0160	refseq|NC_002516.2|chromosome	183822	184007	+	186	139
PA0161	refseq|NC_002516.2|chromosome	184287	184439	+	153	102
PA0162	refseq|NC_002516.2|chromosome	184594	185928	+	1335	422
PA0163	refseq|NC_002516.2|chromosome	185957	186754	-	798	573
PA0164	refseq|NC_002516.2|chromosome	186832	188448	+	1617	467
PA0165	refseq|NC_002516.2|chromosome	189120	189956	+	837	576
PA0166	refseq|NC_002516.2|chromosome	190198	191604	+	1407	699
PA0167	refseq|NC_002516.2|chromosome	191697	192362	+	666	1106
PA0168	refseq|NC_002516.2|chromosome	192368	192958	+	591	231
PA0169	refseq|NC_002516.2|chromosome	192965	193672	-	708	170
PA0170	refseq|NC_002516.2|chromosome	193799	194179	-	381	94
PA0171	refseq|NC_002516.2|chromosome	194206	194748	-	543	88
PA0172	refseq|NC_002516.2|chromosome	194757	196748	-	1992	365
PA0173	refseq|NC_002516.2|chromosome	197011	198060	-	1050	469
PA0174	refseq|NC_002516.2|chromosome	198080	198682	-	603	62
PA0175	refseq|NC_002516.2|chromosome	198688	199530	-	843	197
PA0176	refseq|NC_002516.2|chromosome	199600	201639	-	2040	1431
PA0177	refseq|NC_002516.2|chromosome	201675	202160	-	486	285
PA0178	refseq|NC_002516.2|chromosome	202147	204066	-	1920	1943
PA0179	refseq|NC_002516.2|chromosome	204094	204459	-	366	1778
PA0180	refseq|NC_002516.2|chromosome	204657	205829	-	1173	921
PA0181	refseq|NC_002516.2|chromosome	206022	206954	-	933	1026
PA0182	refseq|NC_002516.2|chromosome	207071	207823	+	753	294
PA0183	refseq|NC_002516.2|chromosome	207923	209533	-	1611	357
PA0184	refseq|NC_002516.2|chromosome	209621	210460	-	840	146
PA0185	refseq|NC_002516.2|chromosome	210457	212073	-	1617	307
PA0186	refseq|NC_002516.2|chromosome	212340	213401	+	1062	598
PA0187	refseq|NC_002516.2|chromosome	213819	214634	+	816	355
PA0188	refseq|NC_002516.2|chromosome	214631	215512	+	882	164
PA0189	refseq|NC_002516.2|chromosome	215550	216908	-	1359	317
PA0190	refseq|NC_002516.2|chromosome	217156	217881	+	726	235
PA0191	refseq|NC_002516.2|chromosome	217905	218822	-	918	295
PA0192	refseq|NC_002516.2|chromosome	219172	221544	+	2373	415
PA0193	refseq|NC_002516.2|chromosome	221585	222487	+	903	96
PA0194	refseq|NC_002516.2|chromosome	222555	223454	+	900	190
PA0195	refseq|NC_002516.2|chromosome	224101	225217	+	1117	1455
PA0195.1	refseq|NC_002516.2|chromosome	225295	225603	+	309	262
PA0196	refseq|NC_002516.2|chromosome	225603	227039	+	1437	1124
PA0197	refseq|NC_002516.2|chromosome	227382	228194	+	813	60
PA0198	refseq|NC_002516.2|chromosome	228223	228942	+	720	126
PA0199	refseq|NC_002516.2|chromosome	228944	229345	+	402	155
PA0200	refseq|NC_002516.2|chromosome	229526	229738	-	213	108
PA0201	refseq|NC_002516.2|chromosome	229954	230535	+	582	335
PA0202	refseq|NC_002516.2|chromosome	230543	232000	-	1458	370
PA0203	refseq|NC_002516.2|chromosome	232066	233100	-	1035	340
PA0204	refseq|NC_002516.2|chromosome	233123	233932	-	810	293
PA0205	refseq|NC_002516.2|chromosome	233929	234849	-	921	408
PA0206	refseq|NC_002516.2|chromosome	234875	235987	-	1113	604
PA0207	refseq|NC_002516.2|chromosome	236218	237111	+	894	1266
PA0208	refseq|NC_002516.2|chromosome	237232	238896	+	1665	2085
PA0209	refseq|NC_002516.2|chromosome	238896	239777	+	882	360
PA0210	refseq|NC_002516.2|chromosome	239779	240078	+	300	156
PA0211	refseq|NC_002516.2|chromosome	240071	240934	+	864	792
PA0212	refseq|NC_002516.2|chromosome	240931	241737	+	807	622
PA0213	refseq|NC_002516.2|chromosome	241753	242445	+	693	357
PA0214	refseq|NC_002516.2|chromosome	242442	243374	+	933	678
PA0215	refseq|NC_002516.2|chromosome	243431	243835	+	405	445
PA0216	refseq|NC_002516.2|chromosome	243841	244605	+	765	221
PA0217	refseq|NC_002516.2|chromosome	244690	245619	-	930	758
PA0218	refseq|NC_002516.2|chromosome	245948	246868	-	921	1511
PA0219	refseq|NC_002516.2|chromosome	247219	248709	+	1491	267
PA0220	refseq|NC_002516.2|chromosome	248767	250200	+	1434	405
PA0221	refseq|NC_002516.2|chromosome	250231	251613	+	1383	306
PA0222	refseq|NC_002516.2|chromosome	251777	252835	+	1059	150
PA0223	refseq|NC_002516.2|chromosome	252913	253794	-	882	146
PA0224	refseq|NC_002516.2|chromosome	253854	254636	-	783	452
PA0225	refseq|NC_002516.2|chromosome	254791	255330	+	540	417
PA0226	refseq|NC_002516.2|chromosome	255481	256332	+	852	813
PA0227	refseq|NC_002516.2|chromosome	256329	257111	+	783	1036
PA0228	refseq|NC_002516.2|chromosome	257108	258313	+	1206	2043
PA0229	refseq|NC_002516.2|chromosome	258463	259761	+	1299	2076
PA0230	refseq|NC_002516.2|chromosome	259784	261163	+	1380	1570
PA0231	refseq|NC_002516.2|chromosome	261179	261970	+	792	619
PA0232	refseq|NC_002516.2|chromosome	261981	262382	+	402	508
PA0233	refseq|NC_002516.2|chromosome	262557	263498	+	942	842
PA0234	refseq|NC_002516.2|chromosome	263689	264522	+	834	463
PA0235	refseq|NC_002516.2|chromosome	264964	266310	-	1347	434
PA0236	refseq|NC_002516.2|chromosome	266616	267395	+	780	211
PA0237	refseq|NC_002516.2|chromosome	267638	268681	+	1044	221
PA0238	refseq|NC_002516.2|chromosome	268704	269519	+	816	347
PA0239	refseq|NC_002516.2|chromosome	269669	270547	+	879	732
PA0240	refseq|NC_002516.2|chromosome	270573	271838	-	1266	444
PA0241	refseq|NC_002516.2|chromosome	271904	273229	-	1326	447
PA0242	refseq|NC_002516.2|chromosome	273775	275679	+	1905	1647
PA0243	refseq|NC_002516.2|chromosome	275772	276440	+	669	738
PA0244	refseq|NC_002516.2|chromosome	276480	277334	-	855	353
PA0245	refseq|NC_002516.2|chromosome	277331	277777	-	447	833
PA0246	refseq|NC_002516.2|chromosome	277894	279399	-	1506	491
PA0247	refseq|NC_002516.2|chromosome	279574	280758	-	1185	438
PA0248	refseq|NC_002516.2|chromosome	280936	281802	+	867	1172
PA0249	refseq|NC_002516.2|chromosome	281799	282245	-	447	910
PA0250	refseq|NC_002516.2|chromosome	282323	282757	-	435	2087
PA0251	refseq|NC_002516.2|chromosome	282912	283553	-	642	483
PA0252	refseq|NC_002516.2|chromosome	283818	284105	-	288	133
PA0253	refseq|NC_002516.2|chromosome	284197	284673	-	477	285
PA0254	refseq|NC_002516.2|chromosome	284714	286204	-	1491	1411
PA0255	refseq|NC_002516.2|chromosome	286338	287024	-	687	1236
PA0256	refseq|NC_002516.2|chromosome	287188	288120	-	933	1064
PA0257	refseq|NC_002516.2|chromosome	288384	289175	-	792	1145
PA0258	refseq|NC_002516.2|chromosome	289205	289390	-	186	521
PA0259	refseq|NC_002516.2|chromosome	289562	291004	-	1443	3528
PA0260	refseq|NC_002516.2|chromosome	291154	293304	-	2151	1770
PA0261	refseq|NC_002516.2|chromosome	293301	293798	-	498	190
PA0262	refseq|NC_002516.2|chromosome	293802	296861	-	3060	604
PA0263	refseq|NC_002516.2|chromosome	297043	297561	-	519	70
PA0263.1	refseq|NC_002516.2|chromosome	298816	298892	-	77	248
PA0264	refseq|NC_002516.2|chromosome	299081	299497	-	417	3108
PA0265	refseq|NC_002516.2|chromosome	299522	300973	+	1452	19913
PA0266	refseq|NC_002516.2|chromosome	301218	302498	+	1281	27177
PA0267	refseq|NC_002516.2|chromosome	302824	304023	+	1200	350
PA0268	refseq|NC_002516.2|chromosome	304177	305598	-	1422	885
PA0269	refseq|NC_002516.2|chromosome	305725	306162	+	438	1195
PA0270	refseq|NC_002516.2|chromosome	306174	306581	+	408	339
PA0271	refseq|NC_002516.2|chromosome	306615	306899	+	285	527
PA0272	refseq|NC_002516.2|chromosome	306896	307828	-	933	731
PA0273	refseq|NC_002516.2|chromosome	307878	309092	-	1215	302
PA0274	refseq|NC_002516.2|chromosome	309255	310025	-	771	374
PA0275	refseq|NC_002516.2|chromosome	310134	310820	-	687	1535
PA0276	refseq|NC_002516.2|chromosome	310896	311411	+	516	157
PA0277	refseq|NC_002516.2|chromosome	311451	312209	-	759	156
PA0278	refseq|NC_002516.2|chromosome	312381	313133	-	753	149
PA0279	refseq|NC_002516.2|chromosome	313227	313925	+	699	166
PA0280	refseq|NC_002516.2|chromosome	313938	314927	-	990	470
PA0281	refseq|NC_002516.2|chromosome	314931	315800	-	870	502
PA0282	refseq|NC_002516.2|chromosome	315811	316629	-	819	345
PA0283	refseq|NC_002516.2|chromosome	316791	317789	-	999	980
PA0284	refseq|NC_002516.2|chromosome	317966	318148	-	183	517
PA0285	refseq|NC_002516.2|chromosome	318312	320594	-	2283	2399
PA0286	refseq|NC_002516.2|chromosome	320766	321944	+	1179	6454
PA0287	refseq|NC_002516.2|chromosome	322175	323560	+	1386	190
PA0288	refseq|NC_002516.2|chromosome	323616	324572	+	957	147
PA0289	refseq|NC_002516.2|chromosome	324625	325587	+	963	1264
PA0290	refseq|NC_002516.2|chromosome	325700	326671	+	972	1663
PA0291	refseq|NC_002516.2|chromosome	327284	328666	+	1383	8468
PA0292	refseq|NC_002516.2|chromosome	328801	329907	-	1107	3436
PA0293	refseq|NC_002516.2|chromosome	329993	330871	-	879	202
PA0294	refseq|NC_002516.2|chromosome	331034	331699	-	666	631
PA0295	refseq|NC_002516.2|chromosome	331762	332823	-	1062	988
PA0296	refseq|NC_002516.2|chromosome	333079	334455	-	1377	18708
PA0296.1	refseq|NC_002516.2|chromosome	334549	334728	-	180	942
PA0297	refseq|NC_002516.2|chromosome	334734	335486	+	753	3648
PA0298	refseq|NC_002516.2|chromosome	335527	336885	+	1359	8895
PA0299	refseq|NC_002516.2|chromosome	336951	338321	+	1371	32017
PA0300	refseq|NC_002516.2|chromosome	338437	339540	+	1104	30596
PA0301	refseq|NC_002516.2|chromosome	339959	341056	+	1098	9066
PA0302	refseq|NC_002516.2|chromosome	341111	342265	+	1155	6082
PA0303	refseq|NC_002516.2|chromosome	342292	343173	+	882	4245
PA0304	refseq|NC_002516.2|chromosome	343256	344125	+	870	2621
PA0305	refseq|NC_002516.2|chromosome	344303	346690	-	2388	1723
PA0306	refseq|NC_002516.2|chromosome	346801	347853	+	1053	927
PA0306.1	refseq|NC_002516.2|chromosome	347835	348473	-	639	2306
PA0307	refseq|NC_002516.2|chromosome	348440	349051	-	612	325
PA0308	refseq|NC_002516.2|chromosome	349050	350069	+	1020	518
PA0309	refseq|NC_002516.2|chromosome	350089	350841	-	753	865
PA0310	refseq|NC_002516.2|chromosome	350890	351588	+	699	597
PA0311	refseq|NC_002516.2|chromosome	351610	352164	-	555	172
PA0312	refseq|NC_002516.2|chromosome	352430	352924	+	495	1182
PA0313	refseq|NC_002516.2|chromosome	352927	353619	-	693	811
PA0314	refseq|NC_002516.2|chromosome	353691	354461	-	771	1582
PA0315	refseq|NC_002516.2|chromosome	354754	355191	+	438	11035
PA0316	refseq|NC_002516.2|chromosome	355248	356477	-	1230	5502
PA0317	refseq|NC_002516.2|chromosome	356681	358075	+	1395	5027
PA0318	refseq|NC_002516.2|chromosome	358167	358832	+	666	2411
PA0319	refseq|NC_002516.2|chromosome	358931	359920	+	990	1525
PA0320	refseq|NC_002516.2|chromosome	359982	360332	+	351	315
PA0321	refseq|NC_002516.2|chromosome	360413	361447	-	1035	316
PA0322	refseq|NC_002516.2|chromosome	361463	362857	-	1395	636
PA0323	refseq|NC_002516.2|chromosome	363278	364321	-	1044	602
PA0324	refseq|NC_002516.2|chromosome	364369	365157	-	789	398
PA0325	refseq|NC_002516.2|chromosome	365154	366083	-	930	919
PA0326	refseq|NC_002516.2|chromosome	366080	367129	-	1050	877
PA0327	refseq|NC_002516.2|chromosome	367457	368422	+	966	948
PA0328	refseq|NC_002516.2|chromosome	368462	370405	-	1944	977
PA0329	refseq|NC_002516.2|chromosome	370706	371038	-	333	8245
PA0330	refseq|NC_002516.2|chromosome	371162	371833	-	672	884
PA0331	refseq|NC_002516.2|chromosome	372091	373605	+	1515	2096
PA0332	refseq|NC_002516.2|chromosome	373725	374192	+	468	467
PA0333	refseq|NC_002516.2|chromosome	374243	375514	+	1272	1060
PA0334	refseq|NC_002516.2|chromosome	375951	377189	-	1239	518
PA0335	refseq|NC_002516.2|chromosome	377239	377892	-	654	1686
PA0336	refseq|NC_002516.2|chromosome	378096	378575	+	480	4474
PA0337	refseq|NC_002516.2|chromosome	378598	380877	+	2280	14302
PA0338	refseq|NC_002516.2|chromosome	380903	382033	+	1131	1062
PA0339	refseq|NC_002516.2|chromosome	382037	382792	-	756	782
PA0340	refseq|NC_002516.2|chromosome	382914	383717	+	804	675
PA0341	refseq|NC_002516.2|chromosome	383727	384527	+	801	1367
PA0342	refseq|NC_002516.2|chromosome	384733	385527	+	795	1436
PA0343	refseq|NC_002516.2|chromosome	385554	386351	-	798	743
PA0344	refseq|NC_002516.2|chromosome	386386	387765	-	1380	1169
PA0345	refseq|NC_002516.2|chromosome	387758	389143	-	1386	1298
PA0346	refseq|NC_002516.2|chromosome	389334	389696	+	363	157
PA0347	refseq|NC_002516.2|chromosome	389733	390884	-	1152	519
PA0348	refseq|NC_002516.2|chromosome	391094	392188	+	1095	453
PA0349	refseq|NC_002516.2|chromosome	392185	393225	+	1041	253
PA0350	refseq|NC_002516.2|chromosome	393308	393814	+	507	215
PA0351	refseq|NC_002516.2|chromosome	393830	394303	-	474	642
PA0352	refseq|NC_002516.2|chromosome	394442	395827	-	1386	505
PA0353	refseq|NC_002516.2|chromosome	396057	397895	-	1839	3485
PA0354	refseq|NC_002516.2|chromosome	398224	399420	-	1197	754
PA0355	refseq|NC_002516.2|chromosome	399493	400032	-	540	427
PA0356	refseq|NC_002516.2|chromosome	400248	401072	+	825	828
PA0357	refseq|NC_002516.2|chromosome	401131	401943	+	813	1436
PA0358	refseq|NC_002516.2|chromosome	402020	402598	+	579	520
PA0359	refseq|NC_002516.2|chromosome	402681	403025	+	345	2350
PA0360	refseq|NC_002516.2|chromosome	403295	404281	+	987	1519
PA0361	refseq|NC_002516.2|chromosome	404386	406119	-	1734	2895
PA0362	refseq|NC_002516.2|chromosome	406247	406498	-	252	822
PA0363	refseq|NC_002516.2|chromosome	406619	407098	-	480	1330
PA0364	refseq|NC_002516.2|chromosome	407250	408845	-	1596	729
PA0365	refseq|NC_002516.2|chromosome	408901	409449	-	549	419
PA0366	refseq|NC_002516.2|chromosome	409504	410934	-	1431	1943
PA0367	refseq|NC_002516.2|chromosome	411224	411871	+	648	1388
PA0368	refseq|NC_002516.2|chromosome	412329	413327	-	999	1206
PA0369	refseq|NC_002516.2|chromosome	413364	413840	-	477	294
PA0370	refseq|NC_002516.2|chromosome	413933	414529	-	597	454
PA0371	refseq|NC_002516.2|chromosome	414529	416016	-	1488	2521
PA0372	refseq|NC_002516.2|chromosome	416009	417406	-	1398	2124
PA0373	refseq|NC_002516.2|chromosome	417527	418894	+	1368	3621
PA0374	refseq|NC_002516.2|chromosome	418891	419562	+	672	2332
PA0375	refseq|NC_002516.2|chromosome	419562	420569	+	1008	2848
PA0376	refseq|NC_002516.2|chromosome	420683	421537	+	855	24161
PA0377	refseq|NC_002516.2|chromosome	421602	422207	+	606	386
PA0378	refseq|NC_002516.2|chromosome	422212	422943	-	732	411
PA0379	refseq|NC_002516.2|chromosome	422980	423357	+	378	452
PA0380	refseq|NC_002516.2|chromosome	423460	423660	+	201	572
PA0381	refseq|NC_002516.2|chromosome	423719	424516	+	798	1961
PA0382	refseq|NC_002516.2|chromosome	424670	425341	+	672	702
PA0383	refseq|NC_002516.2|chromosome	425504	426850	+	1347	597
PA0384	refseq|NC_002516.2|chromosome	426863	427120	-	258	128
PA0385	refseq|NC_002516.2|chromosome	427182	427505	-	324	300
PA0386	refseq|NC_002516.2|chromosome	427586	428740	-	1155	683
